id,lang,stage,prompt_type,difficulty,inquiry,reference,context,multimodal_asset_paths
PR-EN-001-fe,en,problem_finding,few_shot,,What can you find around you that rotates around a fixed point?,"[""What everyday situations involve a thing moving in a circle and the acceleration toward the center is centripetal?"", ""Can you identify an example in your daily life where an item is moving in a circular path and the acceleration toward the center is centripetal?"", ""What common circular motion scenarios do you observe in your surroundings that demonstrate centripetal acceleration?""]",Classroom with a ceiling fan,[]
PR-EN-002-fe,en,problem_finding,few_shot,,What can you find around you that moves in a circular path?,"[""What everyday situations involve a thing moving in a circle and the acceleration toward the center is centripetal?"", ""Can you identify an example in your daily life where an item is moving in a circular path and the acceleration toward the center is centripetal?"", ""What common circular motion scenarios do you observe in your surroundings that demonstrate centripetal acceleration?""]",Bicycle wheel spinning,[]
PR-EN-003-fe,en,problem_finding,few_shot,,What can you find in your environment that moves in a circular path?,"[""What everyday situations involve a thing moving in a circle and the acceleration toward the center is centripetal?"", ""Can you identify an example in your daily life where an item is moving in a circular path and the acceleration toward the center is centripetal?"", ""What common circular motion scenarios do you observe in your surroundings that demonstrate centripetal acceleration?""]",Washing machine drum in motion,[]
PR-EN-004-fe,en,problem_finding,few_shot,,What can you find around you that moves in a circular path?,"[""What everyday situations involve a thing moving in a circle and the acceleration toward the center is centripetal?"", ""Can you identify an example in your daily life where an item is moving in a circular path and the acceleration toward the center is centripetal?"", ""What common circular motion scenarios do you observe in your surroundings that demonstrate centripetal acceleration?""]",Playground carousel rotating,[]
PR-EN-005-fe,en,problem_finding,few_shot,,What can you find around you that moves in a circular path?,"[""What everyday situations involve a thing moving in a circle and the acceleration toward the center is centripetal?"", ""Can you identify an example in your daily life where an item is moving in a circular path and the acceleration toward the center is centripetal?"", ""What common circular motion scenarios do you observe in your surroundings that demonstrate centripetal acceleration?""]",Playground hamster wheel,[]
PR-EN-006-fe,en,problem_generating,few_shot,easy,A fan blade with radius 0.20 m rotates at 12 rad/s during the steady phase (as indicated in the graph). Calculate the centripetal acceleration.,"[""A car travels at a constant speed of 10 m/s around a circular track with a radius of 20 meters. Calculate the centripetal acceleration of the car."", ""A stone is whirled in a circle of radius 0.5 meters with a speed of 3 m/s. Calculate the centripetal acceleration of the stone."", ""A child is riding a merry-go-round with a radius of 2 meters. The merry-go-round completes one revolution every 4 seconds. Calculate the centripetal acceleration of the child.""]",Difficulty: easy. Use the provided graph (graph_01dd480f.png) and real-world image (fan10.jpg) to construct one centripetal acceleration problem question.,"[""E:\\G-Physolve\\G-Uphysic\\fastapi-gpt\\easy_graph\\graph_01dd480f.png"", ""E:\\G-Physolve\\G-Uphysic\\fastapi-gpt\\image_result\\fan10.jpg""]"
PR-EN-007-fe,en,problem_generating,few_shot,easy,"A fan blade with radius 0.25 m is rotating. During an increase phase, the angular velocity is 8 rad/s. Calculate the centripetal acceleration of a point on the blade.","[""A car travels at a constant speed of 10 m/s around a circular track with a radius of 20 meters. Calculate the centripetal acceleration of the car."", ""A stone is whirled in a circle of radius 0.5 meters with a speed of 3 m/s. Calculate the centripetal acceleration of the stone."", ""A child is riding a merry-go-round with a radius of 2 meters. The merry-go-round completes one revolution every 4 seconds. Calculate the centripetal acceleration of the child.""]",Difficulty: easy. Use the provided graph (graph_0a99e117.png) and real-world image (fan11.jpg) to construct one centripetal acceleration problem question.,"[""E:\\G-Physolve\\G-Uphysic\\fastapi-gpt\\easy_graph\\graph_0a99e117.png"", ""E:\\G-Physolve\\G-Uphysic\\fastapi-gpt\\image_result\\fan11.jpg""]"
PR-EN-008-fe,en,problem_generating,few_shot,easy,"During the steady phase of the fan's operation (as indicated by the yellow region in the graph), the angular velocity is 12 rad/s. Given the fan blade radius is r (as shown in the image), calculate the centripetal acceleration of a point on the blade.","[""A car travels at a constant speed of 10 m/s around a circular track with a radius of 20 meters. Calculate the centripetal acceleration of the car."", ""A stone is whirled in a circle of radius 0.5 meters with a speed of 3 m/s. Calculate the centripetal acceleration of the stone."", ""A child is riding a merry-go-round with a radius of 2 meters. The merry-go-round completes one revolution every 4 seconds. Calculate the centripetal acceleration of the child.""]",Difficulty: easy. Use the provided graph (graph_0b0749b8.png) and real-world image (fan2.jpg) to construct one centripetal acceleration problem question.,"[""E:\\G-Physolve\\G-Uphysic\\fastapi-gpt\\easy_graph\\graph_0b0749b8.png"", ""E:\\G-Physolve\\G-Uphysic\\fastapi-gpt\\image_result\\fan2.jpg""]"
PR-EN-009-fe,en,problem_generating,few_shot,easy,"A fan blade with radius 0.15 m operates in the steady phase of the angular velocity graph. If the angular velocity during the steady phase is 1.4 rad/s, calculate the centripetal acceleration.","[""A car travels at a constant speed of 10 m/s around a circular track with a radius of 20 meters. Calculate the centripetal acceleration of the car."", ""A stone is whirled in a circle of radius 0.5 meters with a speed of 3 m/s. Calculate the centripetal acceleration of the stone."", ""A child is riding a merry-go-round with a radius of 2 meters. The merry-go-round completes one revolution every 4 seconds. Calculate the centripetal acceleration of the child.""]",Difficulty: easy. Use the provided graph (graph_0c01cd0b.png) and real-world image (fan22.png) to construct one centripetal acceleration problem question.,"[""E:\\G-Physolve\\G-Uphysic\\fastapi-gpt\\easy_graph\\graph_0c01cd0b.png"", ""E:\\G-Physolve\\G-Uphysic\\fastapi-gpt\\image_result\\fan22.png""]"
PR-EN-010-fe,en,problem_generating,few_shot,easy,"A fan blade of radius 0.15 m rotates during the steady phase of the fan's operation, where the angular velocity is 12 rad/s. Calculate the centripetal acceleration.","[""A car travels at a constant speed of 10 m/s around a circular track with a radius of 20 meters. Calculate the centripetal acceleration of the car."", ""A stone is whirled in a circle of radius 0.5 meters with a speed of 3 m/s. Calculate the centripetal acceleration of the stone."", ""A child is riding a merry-go-round with a radius of 2 meters. The merry-go-round completes one revolution every 4 seconds. Calculate the centripetal acceleration of the child.""]",Difficulty: easy. Use the provided graph (graph_12456302.png) and real-world image (fan2_1770899009.jpg) to construct one centripetal acceleration problem question.,"[""E:\\G-Physolve\\G-Uphysic\\fastapi-gpt\\easy_graph\\graph_12456302.png"", ""E:\\G-Physolve\\G-Uphysic\\fastapi-gpt\\image_result\\qZbjrBpk21gB5dluTsyuQBWVVrJ3\\fan2_1770899009.jpg""]"
