id,lang,stage,difficulty,prompt_type,bleu1,bleu4,rouge1,rouge2,rougeL,bertscore_precision,bertscore_recall,bertscore_f1,geval_overall
PR-EN-001-fe,en,problem_finding,,few_shot,35.294117647058826,6.770149544242768,0.3225806451612903,0.13793103448275862,0.3225806451612903,0.8858908414840698,0.8946976661682129,0.8871959447860718,4
PR-EN-002-fe,en,problem_finding,,few_shot,28.49111011207126,2.0345970436499226,0.22222222222222224,0.08,0.22222222222222224,0.8770379424095154,0.8790176510810852,0.8780266642570496,4
PR-EN-003-fe,en,problem_finding,,few_shot,35.294117647058826,6.770149544242768,0.3225806451612903,0.13793103448275862,0.3225806451612903,0.8869638442993164,0.8965848088264465,0.8881138563156128,4
PR-EN-004-fe,en,problem_finding,,few_shot,35.294117647058826,6.770149544242768,0.3225806451612903,0.13793103448275862,0.3225806451612903,0.8858908414840698,0.8946976661682129,0.8871959447860718,4
PR-EN-005-fe,en,problem_finding,,few_shot,35.294117647058826,6.770149544242768,0.3225806451612903,0.13793103448275862,0.3225806451612903,0.8858908414840698,0.8946976661682129,0.8871959447860718,4
PR-EN-006-fe,en,problem_finding,,few_shot,35.294117647058826,6.770149544242768,0.3225806451612903,0.13793103448275862,0.3225806451612903,0.8858908414840698,0.8946976661682129,0.8871959447860718,4
PR-EN-007-fe,en,problem_finding,,few_shot,28.49111011207126,2.0345970436499226,0.22222222222222224,0.08,0.22222222222222224,0.8770379424095154,0.8790176510810852,0.8780266642570496,4
PR-EN-008-fe,en,problem_finding,,few_shot,33.33333333333333,3.514847831369806,0.3448275862068965,0.07407407407407408,0.3448275862068965,0.8860297203063965,0.9003016948699951,0.8931087255477905,4
PR-EN-009-fe,en,problem_exploring,,few_shot,30.0,1.5071676257541071,0.2777777777777778,0.0,0.22222222222222224,0.8811776041984558,0.874056339263916,0.8776025176048279,4
PR-EN-010-fe,en,problem_exploring,,few_shot,35.294117647058826,1.8002829271425147,0.24242424242424243,0.0,0.24242424242424243,0.8960972428321838,0.8822584748268127,0.8842284679412842,4
PR-EN-011-fe,en,problem_exploring,,few_shot,60.0,8.015563400056388,0.38888888888888884,0.11764705882352941,0.33333333333333326,0.899972140789032,0.896907389163971,0.8980683088302612,4
PR-EN-012-fe,en,problem_exploring,,few_shot,52.0,5.986744307891796,0.34146341463414637,0.1,0.34146341463414637,0.9002718925476074,0.9094231724739075,0.904824435710907,4
PR-EN-013-fe,en,problem_exploring,,few_shot,55.00000000000001,9.862157080401406,0.41025641025641024,0.27027027027027023,0.2777777777777778,0.8972914814949036,0.8935022950172424,0.895392894744873,4
PR-EN-014-fe,en,problem_exploring,,few_shot,30.959924991077926,1.8515655955607466,0.3225806451612903,0.0,0.1935483870967742,0.9048240184783936,0.8831899166107178,0.8938760757446289,4
PR-EN-015-fe,en,problem_exploring,,few_shot,52.63157894736842,7.5358381287705365,0.39999999999999997,0.1111111111111111,0.2857142857142857,0.8962675929069519,0.8883382081985474,0.8918569684028625,4
PR-EN-016-fe,en,problem_exploring,,few_shot,37.5,7.239768078888709,0.25,0.13333333333333333,0.25,0.8782116174697876,0.8751274943351746,0.8766668438911438,4
PR-EN-017-fe,en,problem_exploring,,few_shot,37.42027940126471,1.9353025723385746,0.3225806451612903,0.0,0.2580645161290323,0.8867102265357971,0.8709763884544373,0.8787729144096375,4
PR-EN-018-fe,en,problem_exploring,,few_shot,58.82352941176471,3.6374995670960675,0.3636363636363636,0.06451612903225808,0.30303030303030304,0.9061557054519653,0.8865239024162292,0.8934820890426636,4
PR-EN-019-fe,en,problem_generating,easy,few_shot,32.65306122448979,7.838844608918004,0.34146341463414637,0.12820512820512822,0.21951219512195125,0.8634015321731567,0.8928660154342651,0.8778865933418274,5
PR-EN-020-fe,en,problem_generating,easy,few_shot,36.36363636363637,8.7616668834466,0.3636363636363636,0.13698630136986303,0.23376623376623376,0.8683183193206787,0.8918875455856323,0.8799451589584351,4
PR-EN-021-fe,en,problem_generating,easy,few_shot,34.69387755102041,7.958556248942508,0.36144578313253006,0.12658227848101264,0.21686746987951808,0.8621160984039307,0.8937949538230896,0.8776697516441345,4
PR-EN-022-fe,en,problem_generating,easy,few_shot,33.9622641509434,7.445752386546594,0.367816091954023,0.12048192771084339,0.2298850574712644,0.8615075349807739,0.8891766667366028,0.8749806880950928,5
PR-EN-023-fe,en,problem_generating,easy,few_shot,36.0,7.144376414907924,0.4096385542168675,0.10126582278481011,0.2716049382716049,0.8654658794403076,0.8940775990486145,0.8795391321182251,5
PR-EN-024-fe,en,problem_generating,easy,few_shot,40.0,8.815921283012068,0.38961038961038963,0.13698630136986303,0.23376623376623376,0.8673357367515564,0.8804535865783691,0.872140109539032,4
PR-EN-025-fe,en,problem_generating,easy,few_shot,32.692307692307686,7.485531475323083,0.3333333333333333,0.125,0.1904761904761905,0.8620813488960266,0.8796266317367554,0.8694419860839844,4
PR-EN-026-fe,en,problem_generating,easy,few_shot,38.775510204081634,7.818350722197619,0.4096385542168675,0.12658227848101264,0.29629629629629634,0.8681772351264954,0.8917418718338013,0.8783736228942871,4
PR-EN-027-fe,en,problem_generating,easy,few_shot,36.17021276595745,8.308589872019086,0.37037037037037035,0.12987012987012986,0.22222222222222224,0.865378737449646,0.8922340869903564,0.8786012530326843,4
PR-EN-028-fe,en,problem_generating,easy,few_shot,34.04255319148937,7.394729165549386,0.3589743589743589,0.1081081081081081,0.23684210526315788,0.8580062389373779,0.8846532106399536,0.8711259961128235,4
PR-EN-029-fe,en,problem_generating,intermediate,few_shot,28.57142857142857,7.243671671799473,0.3,0.1282051282051282,0.17500000000000002,0.8675448298454285,0.8997395038604736,0.8833488821983337,4
PR-EN-030-fe,en,problem_generating,intermediate,few_shot,31.818181818181817,7.6571285087467755,0.2972972972972973,0.1111111111111111,0.24324324324324326,0.8620591759681702,0.8937292098999023,0.8776086568832397,4
