id,lang,stage,difficulty,prompt_type,bleu1,bleu4,rouge1,rouge2,rougeL,bertscore_precision,bertscore_recall,bertscore_f1,geval_overall
PR-EN-001-ze,en,problem_finding,,zero_shot,27.55471557655919,5.446654810253182,0.38888888888888895,0.1764705882352941,0.3333333333333333,0.9209891557693481,0.8939088582992554,0.907247006893158,4.2
PR-EN-002-fe,en,problem_finding,,few_shot,25.638475006399368,5.141151038650231,0.4,0.18181818181818182,0.28571428571428575,0.9150484204292297,0.8860601186752319,0.9003209471702576,4.2
PR-EN-003-co,en,problem_finding,,cot,27.55471557655919,5.446654810253182,0.38888888888888895,0.1764705882352941,0.3333333333333333,0.9209891557693481,0.8939088582992554,0.907247006893158,4.2
PR-EN-004-dr,en,problem_finding,,draft_critique_revise,27.55471557655919,5.446654810253182,0.38888888888888895,0.1764705882352941,0.2777777777777778,0.9204489588737488,0.893239438533783,0.9066400527954102,4.2
PR-EN-005-ze,en,problem_exploring,,zero_shot,57.524161290767836,24.908360790024183,0.5,0.35294117647058826,0.5,0.9313313961029053,0.921626627445221,0.9264535903930664,4.6
PR-EN-006-fe,en,problem_exploring,,few_shot,39.98128785000744,1.680761126159551,0.3888888888888889,0.058823529411764705,0.2777777777777778,0.890159010887146,0.8679952621459961,0.8771843910217285,4.2
PR-EN-007-co,en,problem_exploring,,cot,33.93994081674645,2.8327065195401278,0.3125,0.06666666666666667,0.25,0.9172689914703369,0.8932138681411743,0.9050816297531128,4.6
PR-EN-008-dr,en,problem_exploring,,draft_critique_revise,20.328482987029957,2.281759320781575,0.25000000000000006,0.07407407407407407,0.25000000000000006,0.9093403220176697,0.8856052160263062,0.8973158597946167,4.2
PR-EN-009-ze,en,problem_generating,easy,zero_shot,21.621621621621625,2.428183211182916,0.3119266055045871,0.11538461538461539,0.2452830188679245,0.8460732698440552,0.8962576985359192,0.8699743747711182,4.6
PR-EN-010-fe,en,problem_generating,easy,few_shot,39.58333333333333,15.308917483488028,0.40476190476190477,0.1794871794871795,0.325,0.8719432950019836,0.9061794281005859,0.8887317776679993,4.6
PR-EN-011-co,en,problem_generating,easy,cot,32.65306122448979,10.316499681369732,0.3855421686746988,0.14814814814814817,0.3132530120481927,0.8780620694160461,0.9112877249717712,0.8936135172843933,4.6
PR-EN-012-dr,en,problem_generating,easy,draft_critique_revise,27.692307692307693,2.85528554351268,0.35051546391752575,0.12631578947368421,0.26804123711340205,0.8480374813079834,0.9038565754890442,0.8750577569007874,4.6
PR-EN-013-ze,en,problem_generating,intermediate,zero_shot,37.704918032786885,10.412060425864267,0.4,0.1553398058252427,0.3157894736842105,0.8696745038032532,0.9107489585876465,0.8893659710884094,4.6
PR-EN-014-fe,en,problem_generating,intermediate,few_shot,39.21568627450981,14.143550190952817,0.425531914893617,0.1951219512195122,0.30952380952380953,0.8731516599655151,0.9111148118972778,0.8917293548583984,4.6
PR-EN-015-co,en,problem_generating,intermediate,cot,34.99999999999999,7.319952982901434,0.40776699029126207,0.15384615384615385,0.27956989247311825,0.8679615259170532,0.9086106419563293,0.8858498930931091,4.6
PR-EN-016-dr,en,problem_generating,intermediate,draft_critique_revise,29.03225806451613,2.9969171860908,0.3619047619047619,0.11650485436893204,0.26666666666666666,0.8684551119804382,0.9018749594688416,0.8823205828666687,4.6
PR-EN-017-ze,en,problem_generating,advanced,zero_shot,33.76623376623377,8.713189028652932,0.3971631205673759,0.11570247933884296,0.22580645161290322,0.859746515750885,0.9005914926528931,0.878639280796051,4.6
PR-EN-018-fe,en,problem_generating,advanced,few_shot,41.66666666666667,10.646588104713764,0.41818181818181815,0.11111111111111112,0.32608695652173914,0.8714120388031006,0.896723210811615,0.8805797100067139,4.6
PR-EN-019-co,en,problem_generating,advanced,cot,38.590410221775414,11.373089301160585,0.423728813559322,0.14285714285714288,0.30000000000000004,0.8676941990852356,0.8975518345832825,0.8789564967155457,4.6
PR-EN-020-dr,en,problem_generating,advanced,draft_critique_revise,36.92307692307693,9.536596874657823,0.39639639639639634,0.12844036697247704,0.3243243243243243,0.8726739883422852,0.9046452045440674,0.8883720636367798,4.6
